10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
,,
,,
10,0.49806,0.49806
20,0.5,0.5
30,0.500052,0.500052
40,0.499948,0.499948
50,0.500052,0.500052
,,
,,
10,1.993559,1.993559
20,2,2
30,1.999584,1.999584
40,2,2
50,1.999584,1.999584
